City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,galliano,29.4422,-90.2992,18.0,45,0,2.57,US,1701798828
117,tsiombe,-25.3,45.4833,22.58,88,79,3.51,MG,1701798828
118,hermanus,-34.4187,19.2345,18.09,72,7,8.24,ZA,1701798747
119,enewetak,11.3474,162.3373,27.87,67,94,8.35,MH,1701798828
120,forster,-32.1667,152.5167,15.77,94,4,2.5,AU,1701798828
121,chyorny yar,48.0624,46.1091,-3.84,83,7,2.02,RU,1701798828
122,cheney,47.4874,-117.5758,11.19,95,100,5.66,US,1701798724
123,minas de marcona,-15.2119,-75.1103,20.75,54,98,6.5,PE,1701798828
124,colonia,50.9333,6.95,5.32,91,100,4.63,DE,1701798703
125,los angeles,34.0522,-118.2437,26.13,38,0,3.6,US,1701798283
126,sur,22.5667,59.5289,24.55,45,0,3.61,OM,1701798829
127,hasaki,35.7333,140.8333,7.94,85,100,4.75,JP,1701798575
128,hawaiian paradise park,19.5933,-154.9731,22.16,91,75,0.45,US,1701798829
129,port moresby,-9.4431,147.1797,24.36,88,78,2.92,PG,1701798829
130,emerald,-23.5333,148.1667,21.86,87,5,3.76,AU,1701798829
131,gangtok,27.3333,88.6167,10.12,70,69,1.16,IN,1701798829
132,chibougamau,49.9168,-74.3659,-16.21,78,0,1.54,CA,1701798829
133,ontario,34.0633,-117.6509,24.89,33,20,3.09,US,1701798550
134,chonchi,-42.6128,-73.8092,19.56,48,19,2.3,CL,1701798829
135,faya-largeau,17.9257,19.1043,23.6,15,64,6.54,TD,1701798829
136,rosarito,32.3333,-117.0333,25.04,35,1,0.61,MX,1701798829
137,beyla,8.6833,-8.6333,24.97,41,16,0.29,GN,1701798830
138,den burg,53.0542,4.7972,2.22,93,100,3.09,NL,1701798830
139,kargasok,59.0556,80.8572,-20.58,95,100,4.47,RU,1701798830
140,vorkuta,67.5,64.0,-30.31,97,33,1.74,RU,1701798830
141,susuman,62.7833,148.1667,-46.12,100,98,0.89,RU,1701798830
